Project,Capacity,Item No.,PO Number,Description,Supplier,Milestone,Milestone %,Amount Due (Commitment),Contract (ex-VAT),VAT 7%,Contract (incl. VAT),Invoice No.,Invoice Date,Invoice Value,Paid,Invoice Balance,Not Yet Invoiced,Paid Date,Planned Date,Payment Amount
Naresuan University,12 MW,1,PSS2024-027,PSS2024-027 (Angun Travel) Rental Van for Naresuan project,Angun Travel,,,"5,350.00","5,000.00",350.00,"5,350.00",,19/1/2024,"5,350.00","5,350.00",,,12/01/2024,,"5,350.00"
Naresuan University,12 MW,2,PSS2024-045,"PSS2024-045 (Thar Thong General Partnership) Legal Consulting Fees, Naresuan University",Tharathong General Partnership,,,"220,000.00","220,000.00",,"220,000.00",,02/04/2024,"220,000.00","220,000.00",,,12/01/2024,,"220,000.00"
Naresuan University,12 MW,3,PSS2024-061,PSS2024-061 (Mr. Suriya Sukhawatana) VIP van for Naresuan University.,Mr. Suriya Sukhawatana,,,"5,200.00","5,200.00",,"5,200.00",,29/3/2024,"5,200.00","5,200.00",,,12/01/2024,,"5,200.00"
Naresuan University,12 MW,4,PSS2024-151,PSS2024-151 (A-NGUN TRAVEL) Rental Van 10 seats 1-2 July 2024 in Phitsanulok for Naresuan,Angun Travel,,,"5,350.00","5,000.00",,"5,350.00",66,02/07/2024,"5,350.00","5,350.00",,,12/01/2024,,"5,350.00"
Naresuan University,12 MW,5,PSS2024-192/M1,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M1,-,"58,850.00","660,000.00","46,200.00","706,200.00",2024/119,26/9/2024,"58,850.00","58,850.00",,,12/01/2024,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M2,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M2,-,"58,850.00",,,,2024/136,30/10/2024,"58,850.00","58,850.00",,,12/01/2024,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M3,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M3,-,"58,850.00",,,,2024/147,29/11/2024,"58,850.00","58,850.00",,,12/01/2024,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M4,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M4,-,"58,850.00",,,,2024/162,25/12/2024,"58,850.00","58,850.00",,,12/01/2024,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M5,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M5,-,"58,850.00",,,,2025/006,20/01/2025,"58,850.00","58,850.00",,,02/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M6,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M6,-,"58,850.00",,,,2025/018,20/02/2025,"58,850.00","58,850.00",,,03/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M7,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M7,-,"58,850.00",,,,2025/032,20/03/2025,"58,850.00","58,850.00",,,04/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M8,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M8,-,"58,850.00",,,,2025/053,21/04/2025,"58,850.00","58,850.00",,,05/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M9,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M9,-,"58,850.00",,,,2025/067,21/05/2025,"58,850.00","58,850.00",,,06/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M10,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M10,-,"58,850.00",,,,2025/100,17/07/2025,"58,850.00","58,850.00",,,07/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M11,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M11,-,"58,850.00",,,,2025/102,18/07/2025,"58,850.00","58,850.00",,,08/01/2025,,"58,850.00"
Naresuan University,12 MW,5,PSS2024-192/M12,PSS2024-192 (Green Grow Energy) Engineering Design Review and Procurement Advisor for Naresuan,Green Glow Energy,M12,-,,,,,,,,,,"58,850.00",,09/09/2026,"58,850.00"
Naresuan University,12 MW,6,PSS2024-195/M1,PSS2024-195 (PARABOLIC ASIA) Project construction works permit and license for Naresuan,Parabolic Asia,M1,-,"535,000.00","2,000,000.00","140,000.00","2,140,000.00",00005,02/10/2024,"535,000.00","535,000.00",,,12/01/2024,,"535,000.00"
Naresuan University,12 MW,6,PSS2024-195/M2,PSS2024-195 (PARABOLIC ASIA) Project construction works permit and license for Naresuan,Parabolic Asia,M2,-,"642,000.00",,,,00026,17/09/2025,"642,000.00","642,000.00",,,10/01/2025,,"642,000.00"
Naresuan University,13 MW,6,PSS2024-195/M3,PSS2024-195 (PARABOLIC ASIA) Project construction works permit and license for Naresuan,Parabolic Asia,M3,,"963,000.00",,,,,,,,,"963,000.00",,10/01/2026,"963,000.00"
Naresuan University,12 MW,7,PSS2024-196/M1,PSS2024-196 (PARABOLIC ASIA) Engineering Works for Naresuan,Parabolic Asia,M1,-,"225,000.00","1,500,000.00","105,000.00","1,605,000.00",00006,02/10/2024,"225,000.00","225,000.00",,,12/01/2024,,"225,000.00"
Naresuan University,12 MW,7,PSS2024-196/M2,PSS2024-196 (PARABOLIC ASIA) Engineering Works for Naresuan,Parabolic Asia,M2,-,"481,500.00",,,,00027,17/09/2025,"481,500.00","481,500.00",,,10/01/2025,,"481,500.00"
Naresuan University,12 MW,8,PSS2024-200,PSS2024-200 Rental Van 10 seater 23-24 Sep 2024 Wednesday for Naresuan_A-NGUN,Angun Travel,,,"7,918.00","7,400.00",518.00,"7,918.00",,12/01/2024,"7,918.00","7,918.00",,,12/01/2024,,"7,918.00"
Naresuan University,12 MW,9,PSS2025-007/M1,PSS2025-007 (MATRIX INTERFACE) MOUNTING SUPPORT STRUCTURE for Naresuan,Matrix Interface,M1,-,"5,212,246.11","5,700,000.00","399,000.00","6,099,000.00",CBNHQ2502033,28/2/2025,"5,212,246.11","5,212,246.11",,,04/01/2025,,"5,212,246.11"
