Project,Capacity,Item No.,PO Number,Description,Supplier,Milestone,Milestone %,Amount Due (Commitment),Contract (ex-VAT),VAT 7%,Contract (incl. VAT),Invoice No.,Invoice Date,Invoice Value,Paid,Invoice Balance,Not Yet Invoiced,Paid Date,Planned Date,Payment Amount
Renaissance,0.588MW,1,PSS2023-282/M1,"PSS2023-282 (CPT DRIVES) Solar DB,MDB panel for Renaissance",CPT,M1,-,"232,725.00","725,000.00","50,750.00","775,750.00",DINV23/11/1394,08/11/2023,"232,725.00","232,725.00",,,12/01/2024,,"232,725.00"
Renaissance,0.588MW,1,PSS2023-282/M2,"PSS2023-282 (CPT DRIVES) Solar DB,MDB panel for Renaissance",CPT,M2,-,"543,025.00",,,,DINV23/02/0199,16/2/2024,"543,025.00","543,025.00",,,12/01/2024,,"543,025.00"
Renaissance,0.588MW,2,PSS2023-283/M1,PSS2023-283 (CPT DRIVES) MV SECTION for Renaissance,CPT,M1,-,"246,207.00","767,000.00","53,690.00","820,690.00",DINV23/11/1395,08/11/2023,"246,207.00","246,207.00",,,12/01/2024,,"246,207.00"
Renaissance,0.588MW,2,PSS2023-283/M2,PSS2023-283 (CPT DRIVES) MV SECTION for Renaissance,CPT,M2,-,"574,483.00",,,,DINV24/05/0506,27/5/2024,"574,483.00","574,483.00",,,12/01/2024,,"574,483.00"
Renaissance,0.588MW,3,PSS2023-290,PSS2023-290 Certification fee by a licensed civil engineer for Renaissance.,Anon Namwongprom,,,"20,000.00","20,000.00",0.00,"20,000.00",45325,02/03/2024,"20,000.00","20,000.00",,,12/01/2024,,"20,000.00"
Renaissance,0.588MW,4,PSS2023-291,PSS2023-291 Architectural certification fee for Renaissance,Yutthana Boonphut,,,"15,464.00","15,464.00",0.00,"15,464.00",45294,03/01/2024,"15,464.00","15,464.00",,,12/01/2024,,"15,464.00"
Renaissance,0.588MW,5,PSS2023-296/M1,"PSS2023-296 (POLYTECHNOLOGY) Inverter 100KTL 10Y, Smart Logger for Renaissance",POLYTECHNOLOGY,M1,-,"74,980.76","708,831.58","49,618.21","758,449.79",INV2405-00209,13/5/2024,"74,980.76","74,980.76",,,12/01/2024,,"74,980.76"
Renaissance,0.588MW,5,PSS2023-296/M2,"PSS2023-296 (POLYTECHNOLOGY) Inverter 100KTL 10Y, Smart Logger for Renaissance",POLYTECHNOLOGY,M2,-,"683,469.03",,,,CR2410-00023,10/10/2024,"683,469.03","683,469.03",,,12/01/2024,,"683,469.03"
Renaissance,0.588MW,6,PSS2024-096,PSS2024-096 (VENINE CABLE) PV Solar Cable for Renaissance,VENINE CABLE,,,"235,400.00","220,000.00","15,400.00","235,400.00",6707/015,16/7/2024,"235,400.00","235,400.00",,,12/01/2024,,"235,400.00"
Renaissance,0.588MW,7,PSS2024-106/M1,"PSS2024-106 R.2 Mounting, Basket Tray, Walkway for Renaissance_Zigma",Zigma,M1,,"627,308.92","633,670.04","44,356.90","678,026.94",2024-07-0751,31/7/2024,"627,308.92","627,308.92",,,12/01/2024,,"627,308.92"
Renaissance,0.588MW,7,PSS2024-106/M2,"PSS2024-106 R.2 Mounting, Basket Tray, Walkway for Renaissance_Zigma",Zigma,M2,,"50,718.00",,,,2024-09-0967,30/9/2024,"50,718.00","50,718.00",,,12/01/2024,,"50,718.00"
Renaissance,0.588MW,8,PSS2024-115 R.1/M1,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M1,-,"441,300.10","1,977,050.00","138,393.50","2,115,443.50",IV-PJ-2024-316,04/06/2024,"441,300.10","441,300.10",,,12/01/2024,,"441,300.10"
Renaissance,0.588MW,8,PSS2024-115 R.1/M2,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M2,-,"264,780.06",,,,IV-PJ-2024-360,18/7/2024,"264,780.06","264,780.06",,,12/01/2024,,"264,780.06"
Renaissance,0.588MW,8,PSS2024-115 R.1/M3,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M3,-,"330,975.08",,,,IV-PJ-2024-410,09/12/2024,"330,975.08","330,975.08",,,12/01/2024,,"330,975.08"
Renaissance,0.588MW,8,PSS2024-115 R.1/M4,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M4,-,"441,300.10",,,,IV-PJ-2024-455,11/06/2024,"441,300.10","441,300.10",,,12/01/2024,,"441,300.10"
Renaissance,0.588MW,8,PSS2024-115 R.1/M5,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M5,-,"330,975.08",,,,IV-PJ-2024-498,20/11/2024,"330,975.08","330,975.08",,,12/01/2024,,"330,975.08"
Renaissance,0.588MW,8,PSS2024-115 R.1/M6,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M6,-,"66,195.02",,,,IV-PJ-2024-499,20/11/2024,"66,195.02","66,195.02",,,12/01/2024,,"66,195.02"
Renaissance,0.588MW,8,PSS2024-115 R.1/M7,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M7,-,"129,593.05",,,,IV-PJ-2025-032,17/01/2025,"129,593.05","129,593.05",,,12/01/2024,,"129,593.05"
Renaissance,0.588MW,8,PSS2024-115 R.1/M8,PSS2024-115 R.1 (P.J.SUMTECH) Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,M8,-,"110,325.03",,,,,,,,,"110,325.03",,05/04/2026,"110,325.03"
Renaissance,0.588MW,9,PSS2024-117,"PSS2024-117 [Communication] AC Cable, Ground Cable and Communication Cable for Renaissance",CSS,,,"453,284.61","423,630.48","29,654.13","453,284.61",CO 2024060131,20/6/2024,"453,284.61","453,284.61",,,12/01/2024,,"453,284.61"
Renaissance,0.588MW,10,PSS2024-132,PSS2024-132 (P.J.SUMTECH) Additional Supply and installation of Solar Rooftop systems for Renaissance,P.J.SUMTECH,,,"208,650.00","195,000.00","13,650.00","208,650.00",IV-PJ-2024-370,31/7/2024,"208,650.00","208,650.00",,,12/01/2024,,"208,650.00"
