Project,Capacity,Item No.,PO Number,Description,Supplier,Milestone,Milestone %,Amount Due (Commitment),Contract (ex-VAT),VAT 7%,Contract (incl. VAT),Invoice No.,Invoice Date,Invoice Value,Paid,Invoice Balance,Not Yet Invoiced,Paid Date,Planned Date,Payment Amount
Walailak University,6 MW,1,PSS2025-106/M1,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M1,10.00%,"6,741,000.00","63,000,000.00","4,410,000.00","67,410,000.00",2789021489,22/10/2025,"6,741,000.00","6,741,000.00",,,11/01/2025,,"6,741,000.00"
Walailak University,6 MW,1,PSS2025-106/M2,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M2,15.00%,"10,111,500.00",,,,2789023124,13/03/2026,"10,111,500.00",,"10,111,500.00",,,12/01/2025,"10,111,500.00"
Walailak University,6 MW,1,PSS2025-106/M3,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M3,10.00%,"6,741,000.00",,,,2789022498,01/08/2026,"6,741,000.00","6,741,000.00",,,01/01/2026,,"6,741,000.00"
Walailak University,6 MW,1,PSS2025-106/M4,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M4,20.00%,"13,482,000.00",,,,,02/01/2026,,,,"13,482,000.00",,01/01/2026,"13,482,000.00"
Walailak University,6 MW,1,PSS2025-106/M5,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M5,20.00%,"13,482,000.00",,,,,02/01/2026,,,,"13,482,000.00",,02/01/2026,"13,482,000.00"
Walailak University,6 MW,1,PSS2025-106/M6,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M6,10.00%,"6,741,000.00",,,,,02/01/2026,,,,"6,741,000.00",,02/01/2026,"6,741,000.00"
Walailak University,6 MW,1,PSS2025-106/M7,PSS2025-106 Solar Floating Installation for Walailak (PO GIVE TO REPCO),REPCO Co Ltd,M7,15.00%,"10,111,500.00",,,,,02/01/2026,,,,"10,111,500.00",,02/01/2026,"10,111,500.00"
Walailak University,6 MW,2,,Consultant Appointment Agreement for the Walailak 6 MW Solar Floating Project,Walailak Consultant,M1,-,"3,210,000.00","18,000,000.00","1,260,000.00","19,260,000.00",PCI242001,18/12/2024,"3,210,000.00","3,210,000.00",,,05/01/2025,,"3,210,000.00"
Walailak University,6 MW,2,,Consultant Appointment Agreement for the Walailak 6 MW Solar Floating Project,Walailak Consultant,M2,-,"4,494,000.00",,,,PCI242002,18/12/2024,"4,494,000.00","4,494,000.00",,,05/01/2025,,"4,494,000.00"
Walailak University,6 MW,2,,Consultant Appointment Agreement for the Walailak 6 MW Solar Floating Project,Walailak Consultant,M3,-,"3,852,000.00",,,,PCI25030001,04/03/2025,"3,852,000.00",,"3,852,000.00",,,02/01/2026,"3,852,000.00"
Walailak University,6 MW,2,,Consultant Appointment Agreement for the Walailak 6 MW Solar Floating Project,Walailak Consultant,M4,-,"3,852,000.00",,,,PCI25030002,04/03/2025,"3,852,000.00",,"3,852,000.00",,,03/01/2026,"3,852,000.00"
Walailak University,6 MW,2,,Consultant Appointment Agreement for the Walailak 6 MW Solar Floating Project,Walailak Consultant,M5,-,"3,852,000.00",,,,PCI25030003,04/03/2025,"3,852,000.00",,"3,852,000.00",,,04/02/2026,"3,852,000.00"
Walailak University,6 MW,3,PSS2025-004/M1,PSS2025-004 Topographical Survey & Bathmetic for Walailak_Kanda,Kanda,M1,50.00%,"35,000.00","70,000.00",,"70,000.00",,16/01/2024,"35,000.00","35,000.00",,,05/01/2025,,"35,000.00"
Walailak University,6 MW,3,PSS2025-004/M2,PSS2025-004 Topographical Survey & Bathmetic for Walailak_Kanda,Kanda,M2,50.00%,"35,000.00",,,,CTS-2567-006,13/02/2024,"35,000.00","35,000.00",,,06/01/2025,,"35,000.00"
Walailak University,6 MW,4,PSS2025-002,PSS2025-002 Soil Boring test for Walailak_Eng PSU,TBA,,,"35,000.00","50,000.00",,"50,000.00",,14/02/2024,"35,000.00","50,000.00",,,05/01/2025,,"50,000.00"
Walailak University,6 MW,5,PSS2025-016/M1,PSS2025-016 CoP report for Walailak_Thai Solution Service,Thai Solution Service,M1,30.00%,"134,820.00","420,000.00","29,400.00","449,400.00",BL2025020007,2/17/2024,"134,820","134,820.00",,,12/01/2024,,"134,820.00"
Walailak University,6 MW,5,PSS2025-016/M2,PSS2025-016 CoP report for Walailak_Thai Solution Service,Thai Solution Service,M2,20.00%,"89,880.00",,,,BL2025100013,10/29/2025,"89,880","89,880.00",,,11/01/2025,,"89,880.00"
Walailak University,6 MW,5,PSS2025-016/M3,PSS2025-016 CoP report for Walailak_Thai Solution Service,Thai Solution Service,M3,30.00%,"134,820.00",,,,BL2025110028,11/26/2025,"134,820","134,820.00",,,12/01/2025,,"134,820.00"
Walailak University,6 MW,5,PSS2025-016/M4,PSS2025-016 CoP report for Walailak_Thai Solution Service,Thai Solution Service,M4,20.00%,"89,880.00",,,,,,,,,"89,880.00",,02/28/2027,"89,880.00"
Walailak University,6 MW,6,PSS2025-054/M1,PSS2025-054 Civil Work for Walailak_RAKSACHONTRADING,Raksachon Trading,M1,15.00%,"649,745.73","3,539,360.00","247,755.20","3,787,115.20",243984,31/03/2025,"649,745.73","649,745.73",,,05/01/2025,,"649,745.73"
Walailak University,6 MW,6,PSS2025-054/M2,PSS2025-054 Civil Work for Walailak_RAKSACHONTRADING,Raksachon Trading,M2,7.00%,"303,214.67",,,,244015,05/05/2025,"303,214.67","303,214.67",,,05/01/2025,,"303,214.67"
Walailak University,6 MW,6,PSS2025-054/M3,PSS2025-054 Civil Work for Walailak_RAKSACHONTRADING,Raksachon Trading,M3,5.00%,"216,581.91",,,,244044,05/05/2025,"216,581.91","216,581.91",,,05/01/2025,,"216,581.91"
Walailak University,6 MW,6,PSS2025-054/M4,PSS2025-054 Civil Work for Walailak_RAKSACHONTRADING,Raksachon Trading,M4,8.00%,"346,531.06",,,,244166,30/7/2025,"346,531.06","346,531.06",,,05/01/2025,,"346,531.06"
